AIRLINE_ID,UNIQUE_CARRIER_ENTITY,ORIGIN,DEST,AIRCRAFT_TYPE
19547,9482B,ORD,MAD,687
19805,10050,GEO,JFK,838
19682,9493K,MCO,LHR,687
19790,10262,ICN,ATL,359
21351,71072,FAT,MLM,722
19540,9493E,LAX,LHR,637
19930,16031,SAN,SJD,888
19805,10050,SAL,DFW,614
21351,71072,JFK,GDL,722
19532,9427B,MIA,CDG,637
19555,9467A,ORD,WAW,887
20229,9900Y,YYZ,FLL,614
21351,71072,GDL,LAS,722
21351,71072,MIA,GDL,722
20229,9900Y,YVR,LAX,838
19805,10050,MIA,CUN,838
19821,9679A,IST,BOS,696
19547,9482B,MAD,JFK,696
21351,71072,MCO,GDL,722
19568,9639A,JFK,AMM,887
19805,10050,GUA,MIA,614
19532,9427B,CDG,JFK,627
19977,10876,IAH,GIG,626
20080,9788A,JFK,TAS,887
20409,16673,FLL,MDE,694
19547,9482B,MAD,ORD,687
20162,9823A,PPT,LAX,871
19534,9148B,JFK,MEX,838
19546,9439A,KEF,BOS,626
19574,9118B,IAH,SAL,694
19532,9427B,CDG,SFO,637
20229,9900Y,PHX,YYC,614
19821,9679A,IAH,IST,637
21351,71072,ORD,BJX,722
19821,9679A,IST,LAX,637
19805,10050,MEX,MIA,614
19805,10050,MIA,MEX,614
19554,9429D,SFO,FRA,821
19536,9548A,CMN,JFK,626
19805,10049,JFK,LHR,637
19555,9467A,JFK,WAW,889
19977,10876,EWR,CUN,888
20188,9368E,LAX,LIM,626
19747,9591A,CAI,IAD,889
21351,71072,GDL,JFK,722
19805,10050,DFW,GUA,614
19977,10876,EWR,MBJ,888
19568,9639A,AMM,JFK,887
19537,9327A,FLL,BOG,694
21351,71072,MLM,FAT,722
19930,16031,SEA,PVR,888
19805,10050,MIA,SDQ,614
19534,9148B,MEX,LAX,838
19930,16031,SJD,SAN,888
19537,9327A,BOG,MIA,694
20409,16673,JFK,STI,699
19805,10050,MEX,MIA,838
20409,16673,PUJ,JFK,699
20416,16831,AXM,FLL,722
19805,10049,DFW,LHR,637
21949,71197,NBO,JFK,887
19574,9118B,SAL,SFO,694
19805,10050,MIA,SDQ,838
19805,10050,CLT,CUN,699
21351,71072,SJC,MLM,722
19930,16031,SEA,SJD,888
19537,9327A,MIA,BOG,694
20162,9823A,LAX,CDG,871
19805,10049,LHR,LAX,637
19747,9591A,CAI,JFK,637
19977,10874,EWR,GVA,626
19977,10874,FRA,DEN,889
19977,10876,IAH,SAL,888
19555,9467A,WAW,ORD,887
21567,71114,JFK,BRU,696
19805,10050,MIA,AUA,614
19805,10050,LIR,DFW,614
19805,10050,MIA,LIR,614
21351,71072,GDL,DEN,722
19623,9441B,MCO,MAN,696
21351,71072,BJX,ORD,722
19531,9900A,YYZ,LAX,889
19547,9482B,MIA,MAD,687
21351,71072,LAX,GDL,722
19977,10876,PVR,IAH,694
19977,10876,BZE,IAH,614
19547,9482B,MAD,MIA,687
20229,9900Y,IAH,YYC,614
20229,9900Y,FLL,YYZ,614
19790,10261,FRA,ATL,696
19534,9148B,MEX,LAX,887
19790,10262,ATL,ICN,359
20416,16831,FLL,CUN,699
19977,10876,LAX,CUN,888
19393,11033,MBJ,MCO,614
19805,10050,ORD,CUN,614
19930,16031,GDL,LAX,888
20409,16673,AUA,BOS,699
19551,9461A,AMS,JFK,837
20188,9368E,MIA,LIM,626
19535,9303A,EZE,MIA,696
19790,10260,SXM,ATL,622
20416,16831,MDE,FLL,722
19821,9679A,IST,DFW,889
21351,71072,SMF,BJX,722
19790,10261,ATL,JNB,359
19977,10876,SDQ,EWR,888
19821,9679A,MIA,IST,637
19805,10050,AUA,MIA,614
19538,9425A,HEL,LAX,696
21351,71072,DEN,GDL,722
21738,71173,JFK,BEG,696
20229,9900Y,YYC,LAS,838
19805,10050,MIA,MEX,838
19977,10874,EWR,JNB,889
20409,16673,BGI,JFK,699
19805,10050,CTG,MIA,614
19540,9493E,JFK,LHR,627
19977,10876,GUA,IAH,614
19790,10260,LAX,GUA,622
19977,10876,MBJ,EWR,888
19547,9482B,JFK,MAD,687
20409,16673,FLL,SJO,694
19977,10876,DEN,CUN,888
20229,9900Y,MCO,YYZ,614
19790,10260,DTW,CUN,888
19790,10260,CUN,DTW,888
19537,9327A,BOG,JFK,694
20409,16673,JFK,GND,699
19821,9679A,MIA,IST,889
21351,71072,GDL,DEN,694
20188,9368E,JFK,LIM,626
19537,9327A,MCO,BOG,694
20229,9900Y,YYC,JFK,614
21351,71072,GDL,SMF,722
19977,10876,CUN,IAH,888
20409,16673,JFK,CUN,699
19805,10050,KIN,MIA,614
19977,10876,GIG,IAH,626
19977,10876,ORD,CUN,888
20416,16831,FLL,SJO,699
19930,16031,PVR,LAX,888
19961,9900C,FLL,YUL,699
19790,10261,AMS,ATL,687
19790,10260,ATL,GRU,687
19977,10876,SFO,CUN,888
19805,10050,MIA,GRU,637
19790,10261,JFK,AMS,339
19555,9467A,MIA,WAW,887
19554,9429D,FRA,MIA,821
21351,71072,OAK,GDL,722
19977,10876,EWR,SDQ,888
19623,9441B,DUB,MCO,696
19790,10261,AMS,JFK,339
19805,10050,MIA,LIM,721
19977,10876,MEX,ORD,694
20229,9900Y,FLL,YYZ,838
19790,10260,ATL,SJO,622
19805,10050,CUN,DFW,699
19547,9482B,BOS,MAD,687
21351,71072,ORD,GDL,722
19805,10050,CLO,MIA,838
19977,10876,AUA,EWR,888
19805,10050,PHL,CUN,699
19747,9591A,IAD,CAI,889
20409,16673,GEO,JFK,721
19805,10050,MIA,GUA,614
19554,9429D,MUC,SFO,359
19790,10261,LHR,ATL,624
19930,16031,PVR,SEA,888
20409,16673,SDQ,EWR,694
20409,16673,SDQ,BOS,699
19790,10261,ATL,LHR,624
19790,10261,MSP,AMS,339
19534,9148B,MEX,SFO,614
20416,16831,FLL,BOG,722
19568,9639A,AMM,ORD,887
19930,16031,LAX,PVR,888
21351,71072,SMF,GDL,722
19623,9441B,JFK,DUB,696
19393,11033,CUN,BWI,612
20409,16673,AUA,JFK,699
19546,9439A,BOS,KEF,626
19805,10050,GEO,MIA,838
20233,9486G,ZRH,BOS,696
19805,10050,MIA,UIO,838
19555,9467A,WAW,EWR,887
21351,71072,LAX,GDL,694
19534,9148B,LAX,MEX,887
19558,9636A,TLV,LAX,889
19805,10050,SAL,MIA,614
19790,10262,DTW,ICN,359
21107,71013,IAD,AUH,889
19574,9118B,SAL,LAX,694
20229,9900Y,MCO,YYZ,838
20233,9486G,LAX,ZRH,627
19805,10050,CUN,PHL,699
19571,9484B,ARN,EWR,696
19534,9148B,SFO,MEX,614
19977,10876,SJO,IAH,614
19534,9148B,LAX,MEX,838
19977,10876,CUN,IAD,888
19532,9427B,JFK,CDG,637
19790,10261,JFK,LHR,624
19540,9493E,LHR,JFK,637
19551,9461A,JFK,AMS,837
19805,10050,GYE,MIA,838
20229,9900Y,MCO,YYC,614
19547,9482B,SJU,MAD,696
19555,9467A,EWR,WAW,887
20233,9486G,ZRH,JFK,696
21351,71072,DEN,GDL,694
20229,9900Y,YYC,PHX,614
19790,10260,ATL,SXM,622
19682,9493K,MAN,JFK,687
19805,10049,LAX,LHR,637
20416,16831,CUN,FLL,699
19977,10874,ACC,IAD,887
21351,71072,SEA,GDL,722
21351,71072,OAK,MLM,722
19805,10049,LHR,DFW,637
19977,10876,CUN,EWR,888
19805,10050,SDQ,MIA,614
19977,10876,CUN,DEN,888
20409,16673,SJO,FLL,694
20409,16673,GND,JFK,699
19574,9118B,SAL,IAH,694
19821,9679A,IST,IAH,637
19790,10260,MEX,JFK,622
19821,9679A,IST,MIA,889
19790,10260,CUN,MSP,888
21351,71072,FAT,GDL,722
21351,71072,GDL,MIA,722
19393,11033,PVR,HOU,612
19547,9482B,JFK,MAD,696
19535,9303A,MIA,EZE,696
19805,10050,SDQ,MIA,838
20233,9486G,ZRH,EWR,696
19554,9429D,LAX,FRA,821
19532,9427B,CDG,JFK,637
20233,9486G,EWR,ZRH,696
19977,10874,EWR,LHR,626
19977,10876,ORD,PUJ,888
19805,10050,DFW,SJD,699
19574,9118B,JFK,SAL,694
19977,10876,STI,EWR,888
19977,10876,IAH,LIM,626
19532,9427B,CDG,IAD,637
19790,10260,SDQ,ATL,888
19393,11033,MBJ,BWI,614
21351,71072,BJX,SMF,722
19682,9493K,LHR,MCO,687
19821,9679A,IST,ORD,637
19554,9429D,FRA,SFO,821
19531,9900A,LAX,YYZ,889
20416,16831,PUJ,FLL,722
19574,9118B,MGA,MIA,694
19821,9679A,IST,MIA,637
20416,16831,BAQ,FLL,694
19790,10260,SJD,ATL,888
19790,10260,ATL,SJD,888
19690,15375,SYD,HNL,696
19805,10049,LHR,CLT,627
19805,10050,CUN,ORD,614
19690,15375,HNL,SYD,696
19805,10050,SJO,DFW,614
20188,9368E,LIM,LAX,626
19790,10260,SJO,ATL,622
20409,16673,MDE,FLL,694
19790,10261,JNB,ATL,359
21351,71072,GDL,ORD,694
19790,10261,ATL,FRA,696
19805,10050,BZE,DFW,614
19547,9482B,MAD,SJU,696
19546,9439A,SEA,KEF,622
20409,16673,PUJ,FLL,694
20229,9900Y,YYC,PHX,838
19574,9118B,SAL,JFK,694
20229,9900Y,YYZ,MCO,614
21351,71072,FAT,GDL,694
20409,16673,GYE,JFK,721
20167,9316F,GRU,MIA,637
21351,71072,GDL,SEA,722
20409,16673,UVF,JFK,699
19540,9493E,LGW,TPA,819
19576,9469A,LIS,MIA,824
19574,9118B,SAL,IAD,694
21351,71072,GDL,SJC,722
19805,10050,DFW,CUN,699
19682,9493K,LHR,LAS,889
19821,9679A,DFW,IST,889
19805,10049,CLT,LHR,627
21351,71072,BJX,OAK,722
19682,9493K,JFK,MAN,687
20409,16673,JFK,STI,721
19532,9427B,IAD,CDG,637
19930,16031,LAX,GDL,888
21351,71072,SJC,GDL,722
19574,9118B,IAD,SAL,694
19977,10874,FRA,IAH,627
19821,9679A,JFK,IST,637
19551,9461A,AMS,LAX,837
19805,10050,GDL,DFW,614
20188,9368E,LIM,JFK,626
21351,71072,GDL,LAX,722
19977,10876,CUN,ORD,888
19551,9461A,AMS,JFK,627
21351,71072,MLM,OAK,722
19977,10876,EWR,STI,888
20229,9900Y,YYC,ATL,614
19790,10260,JFK,MEX,622
19558,9636A,MIA,TLV,889
19977,10876,CZM,IAH,614
21351,71072,MDW,DGO,722
19393,11033,MCO,MBJ,614
19540,9493E,TPA,LGW,819
19805,10050,MIA,POS,838
19547,9482B,MAD,BOS,687
20119,9482A,MAD,MIA,889
19546,9439A,KEF,SEA,622
21351,71072,GDL,PHX,722
20233,9486G,ZRH,ORD,696
19555,9467A,WAW,ORD,889
20167,9316F,MIA,GRU,637
19805,10050,CUN,MIA,614
19540,9493E,JFK,LHR,637
20229,9900Y,YYC,ATL,838
21351,71072,GDL,SJC,694
20409,16673,STI,JFK,721
19790,10260,ATL,GUA,622
19532,9427B,LAX,CDG,637
19623,9441B,ORD,DUB,696
19821,9679A,IST,JFK,637
20229,9900Y,YYC,LAX,614
20416,16831,FLL,PUJ,722
19623,9441B,BOS,DUB,696
19977,10876,LIM,IAH,626
20416,16831,FLL,MDE,722
20360,9469D,PDL,BOS,699
21351,71072,BJX,OAK,694
19805,10050,MIA,CTG,614
19555,9467A,WAW,MIA,887
21351,71072,LAS,GDL,722
19805,10049,DFW,LHR,627
19805,10050,MIA,PUJ,614
19534,9148B,MEX,LAX,889
20229,9900Y,YYZ,MCO,838
19805,10050,GRU,MIA,637
19623,9441B,DUB,JFK,696
21351,71072,LAX,OAX,722
21351,71072,GDL,LAX,694
19977,10874,IAD,LOS,887
19977,10874,EWR,ZRH,626
19790,10260,GUA,ATL,622
19961,9900C,YUL,FLL,699
19805,10050,SJD,DFW,699
19805,10050,MEX,DFW,614
19977,10874,JNB,EWR,889
19790,10260,ATL,SDQ,888
20409,16673,CUN,JFK,699
19551,9461A,JFK,AMS,627
19977,10874,LOS,IAD,887
21351,71072,MLM,SJC,722
19790,10260,GRU,ATL,687
19790,10261,LOS,ATL,696
19554,9429D,MIA,FRA,821
19805,10050,DFW,MEX,614
19539,9450A,FCO,JFK,696
19537,9327A,BOG,MCO,694
19805,10050,DFW,SJO,614
21567,71114,BRU,JFK,696
19558,9636A,EWR,TLV,889
19977,10876,PUJ,EWR,888
21351,71072,GDL,OAK,722
19623,9441B,DUB,EWR,696
19393,11033,PHX,PVR,612
21738,71173,BEG,JFK,696
19805,10050,LIM,MIA,721
19790,10260,JFK,STI,888
19554,9429D,SFO,MUC,359
21351,71072,MLM,LAX,722
19805,10050,DFW,GDL,614
19805,10050,SJO,MIA,614
19534,9148B,MEX,JFK,838
19537,9327A,BOG,FLL,694
19805,10050,CUN,MIA,838
19568,9639A,ORD,AMM,887
19805,10050,PUJ,MIA,614
21351,71072,LAX,AGU,722
19547,9482B,MAD,JFK,687
20409,16673,CTG,JFK,694
19790,10262,SEA,ICN,339
19540,9493E,LHR,LAX,637
21351,71072,LAX,MLM,722
21351,71072,GDL,MCO,722
20416,16831,SJO,FLL,699
19747,9591A,JFK,CAI,637
19574,9118B,LAX,SAL,694
21351,71072,GDL,FAT,722
19790,10261,ATL,AMS,687
20119,9482A,MIA,MAD,889
21351,71072,DGO,MDW,722
19805,10049,LHR,JFK,637
19977,10876,IAH,CUN,888
19574,9118B,SFO,SAL,694
21351,71072,BJX,LAX,722
19532,9427B,CDG,MIA,637
21107,71013,AUH,IAD,889
20409,16673,JFK,CTG,694
21351,71072,GDL,CLT,722
19977,10876,PVR,SFO,694
19977,10874,DEN,FRA,889
19805,10050,CUN,CLT,699
19554,9429D,FRA,LAX,821
19532,9427B,JFK,CDG,627
19790,10260,GUA,LAX,622
21351,71072,AGU,MDW,722
20409,16673,JFK,BGI,699
20080,9788A,TAS,JFK,887
20409,16673,JFK,SDQ,721
19977,10874,IAD,ACC,887
20233,9486G,ZRH,LAX,627
20409,16673,BOS,AUA,699
19977,10876,SAL,IAH,888
19977,10874,MAD,EWR,624
19977,10876,PTY,IAH,888
21351,71072,PDX,GDL,722
20409,16673,SDQ,JFK,721
19821,9679A,LAX,IST,637
20162,9823A,LAX,PPT,871
20233,9486G,JFK,ZRH,696
19534,9148B,LAX,MEX,889
19805,10050,MIA,CUN,614
19532,9427B,CDG,LAX,637
19977,10876,EWR,PUJ,888
19393,11033,PVR,DEN,612
19805,10050,MIA,MBJ,614
19805,10050,CUN,AUS,614
19930,16031,SJD,LAX,888
19393,11033,SJD,PHX,612
20233,9486G,BOS,ZRH,696
21351,71072,LAX,BJX,722
21351,71072,AGU,LAX,722
19682,9493K,JFK,LHR,836
20409,16673,BOS,SDQ,699
21351,71072,GDL,FAT,694
19821,9679A,ORD,IST,637
19558,9636A,TLV,MIA,889
19555,9467A,WAW,JFK,889
19805,10050,DFW,LIR,614
19551,9461A,LAX,AMS,837
19805,10050,AUA,PHL,699
19790,10260,NAS,ATL,888
19977,10876,PUJ,ORD,888
19574,9118B,SAL,ONT,694
20409,16673,FLL,PUJ,694
19623,9441B,DUB,ORD,696
21949,71197,JFK,NBO,887
20409,16673,JFK,AUA,699
19977,10876,CUN,SFO,888
19930,16031,SJD,SEA,888
21351,71072,GDL,PDX,722
19977,10874,EWR,MAD,624
19558,9636A,TLV,JFK,889
20416,16831,BOG,FLL,722
19540,9493E,LHR,JFK,627
19805,10050,DFW,SAL,614
19977,10874,IAH,FRA,627
19623,9441B,MCO,DUB,696
20188,9368E,LIM,MIA,626
19805,10050,MIA,SJO,614
20233,9486G,SFO,ZRH,627
19790,10260,MSP,CUN,888
